,title,company,salary,location,hiringStatus,postedDate
53,Software Engineer,Joseph Machine Company Inc.,$93K - $134K,"Dillsburg, PA",Actively Hiring,2023-01-09
54,Cloud Software Engineer,The Fikes Companies,$100K - $126K,"Temple, TX",Actively Hiring,2023-01-09
55,Linux Modern C++ Software Engineer,Geisel Software,$84K - $120K,"Worcester, MA",Actively Hiring,2023-01-09
56,Software Engineer OR Principal Engineer Software,Northrop Grumman,$79K - $118K,"Fort Worth, TX",Actively Hiring,2023-01-09
57,PLC Software Engineer,Aqua-Chem,$81K - $111K,"Knoxville, TN",Actively Hiring,2023-01-09
58,GALAXYMAP Software Engineer - Level 3 (Dept 11) 55,Que Technology Group,$56K - $85K,"Fort Meade, MD",Actively Hiring,2023-01-30
59,Software Engineer (CASPORT) - Level 4 A - (Dept 02) 16,Que Technology Group,$80K - $138K,"Fort Meade, MD",Actively Hiring,2023-01-09
60,"Software Engineer I, II, III, or Senior",Alaska USA Federal Credit Union,$79K - $100K,"Renton, WA",Actively Hiring,2023-01-11
61,Firmware Engineer,SJE,$83K - $123K,"Ashland, OH",Actively Hiring,2023-01-09
62,Software Engineer III (Mobile Emphasis),Lighthouse Worldwide Solutions,$110K - $160K,"White City, OR",Actively Hiring,2023-01-09
63,Software Engineer Sr,Vectrus,$9K - $15K,"King George, VA",Actively Hiring,2023-01-24
64,Prototypes Full Stack Software Engineer,Lawrence Berkeley National Laboratory,$76K - $113K,"San Francisco, CA",Actively Hiring,2023-01-26
65,Technical Lead/Software Engineer,Resource Data,$72K - $137K,"Boise, ID",Actively Hiring,2023-01-09
66,EO/IR Engineer/Scientist,Resonant Sciences LLC,$145K - $175K,"Beavercreek, OH",Actively Hiring,2023-01-09
67,Software Development Manager,TherapyNotes.com,$83K - $122K,"Horsham, PA",Actively Hiring,2023-01-25
68,Application Software Engineer,Hamamatsu Corporation,$66K - $95K,"Bridgewater, NJ",Actively Hiring,2023-01-09
69,Automation Engineer,Landus Cooperative,$84K - $109K,"Des Moines, IA",Actively Hiring,2023-01-09
70,Software Engineer,Uline,$96K - $129K,"Pleasant Prairie, WI",Actively Hiring,2023-01-09
71,Software Engineer,CHG Healthcare,$40.00 - $50.66 Per Hour(Employer est.),"Salt Lake City, UT",Actively Hiring,2023-01-23
72,Senior Software Development Engineer,The Morey Corporation,$60K - $85K,"Woodridge, IL",Actively Hiring,2023-01-09
73,Embedded Software Engineer,RDM Industrial Electronics,$100K - $134K,"Nebo, NC",Actively Hiring,2023-01-09
